"Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"202211050DEN,11/5/2022,Jakob Poeltl,poeltja01,28.35,12,0.583,0,0,,0,2,0,3,5,8,2,1,1,2,2,14,26"
"202211070ATL,11/7/2022,Jevon Carter,carteje01,26.27,4,0.25,0,0,,0,0,,0,3,3,5,2,3,0,2,2,8"
"202212230BOS,12/23/2022,Rudy Gobert,goberru01,35.44,4,0.75,0,0,,2,4,0.5,4,8,12,2,0,0,2,3,8,12"
"202212230BOS,12/23/2022,Austin Rivers,riverau01,25.15,3,0.333,0,0,,0,0,,0,2,2,0,0,0,2,2,2,6"
"202301180OKC,1/18/2023,Myles Turner,turnemy01,19.59,4,0.75,1,1,1,0,0,,1,2,3,0,1,6,4,2,7,9"
"202301260LAC,1/26/2023,Jakob Poeltl,poeltja01,22.1,9,0.556,0,0,,0,2,0,0,2,2,3,0,0,1,2,10,20"
"202302120TOR,2/12/2023,Jalen Duren,durenja01,21.12,5,0.4,0,0,,2,4,0.5,1,3,4,1,0,0,1,4,6,14"
"202302240CHI,2/24/2023,Nic Claxton,claxtni01,22.01,7,0.429,0,0,,1,2,0.5,0,6,6,3,2,1,0,0,7,16"
"202302240ATL,2/24/2023,Jarrett Allen,allenja01,29.28,8,0.5,0,0,,6,6,1,3,6,9,0,0,2,0,2,14,22"
"202303030MIA,3/3/2023,Mitchell Robinson,robinmi01,32.37,1,1,0,0,,0,0,,2,3,5,0,2,1,1,4,2,2"
"202303200CHO,3/20/2023,Andrew Nembhard,nembhan01,28.56,6,0.167,0,0,,0,0,,0,2,2,6,0,0,3,3,2,12"
"202304090BRK,4/9/2023,Day'Ron Sharpe,sharpda01,25.05,6,0.333,0,0,,1,1,1,3,7,10,4,0,2,0,3,5,13"
"202101060MIL,1/6/2021,Mason Plumlee,plumlma01,16.42,5,0.4,0,0,,0,0,,2,3,5,1,0,1,2,4,4,10"
"202102030CLE,2/3/2021,Collin Sexton,sextoco01,38.28,21,0.524,1,1,1,4,4,1,0,1,1,5,1,0,1,1,27,47"
"202102150GSW,2/15/2021,Jarrett Allen,allenja01,29.09,12,0.417,0,0,,3,4,0.75,5,9,14,1,1,2,1,1,13,28"
"202102260DET,2/26/2021,Mason Plumlee,plumlma01,26.35,6,0.333,0,0,,2,4,0.5,2,7,9,6,0,1,2,5,6,16"
"202103110MIL,3/11/2021,Nerlens Noel,noelne01,21.37,2,0.5,0,0,,0,0,,1,0,1,0,0,2,1,2,2,4"
"202103200PHI,3/20/2021,Harrison Barnes,barneha02,32.54,7,0.714,1,1,1,1,1,1,0,7,7,5,0,1,1,3,12,16"
"202103280DEN,3/27/2021,Clint Capela,capelca01,27.53,11,0.455,0,0,,0,0,,1,7,8,0,1,0,0,1,10,22"
"202104030DET,4/3/2021,Saben Lee,leesa01,12.31,3,0.333,1,1,1,0,0,,0,1,1,3,0,0,2,1,3,7"
"202105040MIA,5/4/2021,Bam Adebayo,adebaba01,30.22,10,0.4,0,0,,3,6,0.5,3,6,9,11,2,0,3,1,11,26"
"202105050UTA,5/5/2021,DeMar DeRozan,derozde01,17.43,8,0.375,0,0,,0,0,,0,1,1,3,1,0,0,1,6,16"
"202105290MIA,5/29/2021,Bam Adebayo,adebaba01,35.05,17,0.588,0,0,,0,0,,7,7,14,4,1,1,4,3,20,34"
"202106280PHO,6/28/2021,Deandre Ayton,aytonde01,36.53,9,0.556,0,0,,0,0,,3,8,11,1,1,1,2,1,10,18"
"202211070DET,11/7/2022,Jalen Williams,willija06,30.34,6,0.5,0,0,,0,0,,1,1,2,2,1,1,1,4,6,12"
"202211160CHO,11/16/2022,Mason Plumlee,plumlma01,29.13,7,0.714,0,0,,2,2,1,2,8,10,3,0,2,3,3,12,16"
"202211250LAC,11/25/2022,Ivica Zubac,zubaciv01,29.21,6,0.333,0,0,,2,2,1,2,7,9,0,0,0,1,2,6,14"
"202211280WAS,11/28/2022,Rudy Gobert,goberru01,28.31,7,1,0,0,,5,5,1,4,3,7,0,0,1,1,3,19,19"
"202212280MIA,12/28/2022,Thomas Bryant,bryanth01,22.51,6,0.833,0,0,,1,2,0.5,2,6,8,0,0,1,3,3,11,14"
"202301070SAC,1/7/2023,Juan Toscano-Anderson,toscaju01,18.18,2,1,0,0,,0,0,,1,0,1,0,1,1,1,4,4,4"
"202301110ATL,1/11/2023,Onyeka Okongwu,okongon01,33.07,7,0.429,0,0,,1,1,1,3,6,9,5,0,2,0,3,7,15"
"202301230UTA,1/23/2023,Gordon Hayward,haywago01,23.57,7,0.571,0,0,,3,4,0.75,0,2,2,1,1,0,4,1,11,18"
"202302020CHI,2/2/2023,Mason Plumlee,plumlma01,31.06,7,1,0,0,,2,2,1,4,7,11,5,1,0,2,3,16,16"
"202303030CHI,3/3/2023,DeMar DeRozan,derozde01,35.41,18,0.722,1,1,1,4,7,0.571,0,0,0,6,2,0,0,3,31,44"
"202303300DEN,3/30/2023,Aaron Gordon,gordoaa01,31.31,8,0.5,0,0,,3,6,0.5,2,4,6,4,0,0,1,4,11,22"
"202303310CHO,3/31/2023,Mark Williams,willima07,35.27,6,0.5,0,0,,0,0,,1,7,8,0,1,1,3,3,6,12"
"202304020ORL,4/2/2023,James Wiseman,wisemja01,22.32,8,0.5,0,0,,4,4,1,1,9,10,1,0,0,0,3,12,20"
"202305040GSW,5/3/2023,Anthony Davis,davisan02,32.55,11,0.455,0,0,,1,1,1,1,6,7,4,1,3,4,3,11,23"
"202305100GSW,5/10/2023,Anthony Davis,davisan02,32.18,18,0.556,0,0,,3,5,0.6,0,9,9,3,0,0,3,4,23,41"
"202012270CLE,12/27/2020,Ben Simmons,simmobe01,28.26,8,0.625,0,0,,5,7,0.714,0,6,6,4,2,2,6,2,15,23"
"202012300LAC,12/30/2020,Jusuf NurkiÄ‡,nurkiju01,22.46,4,0.5,0,0,,0,0,,0,4,4,1,0,2,4,3,4,8"
"202101150LAL,1/15/2021,Steven Adams,adamsst01,33.04,4,0.5,0,0,,0,0,,4,3,7,1,0,0,0,0,4,8"
"202101210UTA,1/20/2021,Zion Williamson,willizi01,34.26,14,0.643,1,1,1,8,10,0.8,3,0,3,2,0,0,1,0,27,39"
"202101290MIN,1/29/2021,Ed Davis,davised01,22.38,3,0.333,0,0,,0,0,,1,7,8,1,0,0,1,5,2,6"
"202102220PHO,2/22/2021,Derrick Jones Jr.,jonesde02,22.04,4,1,0,0,,0,2,0,2,3,5,2,0,2,0,1,8,10"
"202104010DET,4/1/2021,Rui Hachimura,hachiru01,30.13,12,0.417,0,0,,0,1,0,1,1,2,2,1,0,1,3,10,25"
"202104070BOS,4/7/2021,Robert Williams,williro04,24.5,7,0.429,0,0,,0,0,,5,5,10,0,0,2,1,2,6,14"
"202104100PHO,4/10/2021,Rui Hachimura,hachiru01,24.41,7,0.286,0,0,,2,2,1,1,6,7,0,0,0,3,0,6,16"
"202104140OKC,4/14/2021,Isaiah Roby,robyis01,28.17,6,0.667,1,1,1,0,0,,0,3,3,4,0,0,4,6,9,13"
"202105080GSW,5/8/2021,Moses Brown,brownmo01,19.43,8,0.25,0,0,,2,4,0.5,5,3,8,0,0,1,1,2,6,20"
"202106250MIL,6/24/2021,Clint Capela,capelca01,24.43,5,0.2,0,0,,0,0,,3,5,8,0,0,0,2,2,2,10"
"202211040SAS,11/4/2022,Jakob Poeltl,poeltja01,26.21,6,0.333,0,0,,0,2,0,2,5,7,3,3,1,1,2,4,14"
"202211150POR,11/15/2022,Jusuf NurkiÄ‡,nurkiju01,15,9,0.444,0,0,,1,2,0.5,2,3,5,1,0,0,1,2,9,20"
"202211250IND,11/25/2022,Nic Claxton,claxtni01,28.04,6,1,0,0,,0,0,,2,9,11,1,0,5,1,5,12,12"
"202211290POR,11/29/2022,Ivica Zubac,zubaciv01,27.51,8,0.625,0,0,,2,2,1,5,8,13,0,2,1,2,1,12,18"
"202212030TOR,12/3/2022,Markelle Fultz,fultzma01,18.45,8,0.375,0,0,,1,2,0.5,0,1,1,4,1,0,1,2,7,18"
"202212050GSW,12/5/2022,Kevon Looney,looneke01,13.41,2,1,0,0,,2,2,1,1,6,7,0,0,0,0,1,6,6"
"202301140CHO,1/14/2023,Mason Plumlee,plumlma01,32.54,10,0.4,0,0,,1,2,0.5,3,13,16,1,0,0,1,0,9,22"
"202301180NOP,1/18/2023,Jonas ValanÄiÅ«nas,valanjo01,25,11,0.727,0,0,,2,3,0.667,4,6,10,0,0,0,4,3,18,25"
"202301200DAL,1/20/2023,Jimmy Butler,butleji01,25.58,7,0.429,0,0,,6,6,1,2,2,4,1,2,0,1,3,12,20"
"202301260HOU,1/26/2023,Josh Christopher,chrisjo01,19.14,5,0.4,0,0,,3,3,1,1,0,1,0,0,0,2,1,7,13"
"202303200CHO,3/20/2023,Bennedict Mathurin,mathube01,30.15,10,0.7,1,1,1,3,4,0.75,1,2,3,2,1,0,3,2,18,25"
"202304290DEN,4/29/2023,Deandre Ayton,aytonde01,30.21,11,0.636,0,0,,0,1,0,2,5,7,1,0,0,2,4,14,23"
"202305090DEN,5/8/2023,Deandre Ayton,aytonde01,31.44,12,0.583,0,0,,0,0,,4,5,9,1,2,1,1,3,14,24"
"202305230MIA,5/23/2023,Bam Adebayo,adebaba01,35.07,7,0.571,0,0,,2,4,0.5,1,4,5,0,1,0,4,4,10,18"
"202101030SAS,1/3/2021,Keldon Johnson,johnske04,27.45,16,0.625,0,0,,2,2,1,2,5,7,2,2,0,3,2,22,34"
"202101030SAS,1/3/2021,Jakob Poeltl,poeltja01,24.25,8,0.625,0,0,,1,1,1,4,3,7,4,0,0,0,3,11,17"
"202101030MIN,1/3/2021,Ed Davis,davised01,24.02,4,0.25,0,0,,3,4,0.75,3,5,8,1,1,1,0,5,5,12"
"202101040PHI,1/4/2021,Bismack Biyombo,biyombi01,22.44,7,0.286,0,0,,0,0,,1,3,4,4,0,1,3,3,4,14"
"202101050LAC,1/5/2021,DeMar DeRozan,derozde01,28.31,9,0.333,0,0,,0,0,,1,4,5,6,0,1,2,3,6,18"
"202101110CLE,1/11/2021,Andre Drummond,drumman01,34.38,16,0.5,0,0,,3,9,0.333,5,9,14,3,1,2,4,6,19,41"
"202101200LAC,1/19/2021,Richaun Holmes,holmeri01,35.2,7,0.571,0,0,,0,0,,1,6,7,4,1,1,2,2,8,14"
"202101210UTA,1/20/2021,Steven Adams,adamsst01,30.24,9,0.444,0,0,,0,0,,6,10,16,3,1,1,5,4,8,18"
"202101250CHI,1/25/2021,Daniel Gafford,gaffoda01,10.42,2,0,0,0,,0,2,0,3,0,3,1,0,1,1,0,0,6"
"202102020IND,2/2/2021,Xavier Tillman Sr.,tillmxa01,22.59,10,0.5,0,0,,2,2,1,1,3,4,2,0,2,1,5,12,22"
"202102040ATL,2/4/2021,Clint Capela,capelca01,26.34,14,0.214,0,0,,0,0,,8,9,17,1,0,0,1,4,6,28"
"202102090SAS,2/9/2021,Dejounte Murray,murrade01,26.01,10,0.4,0,0,,0,0,,0,4,4,2,0,0,3,3,8,20"
"202102120POR,2/12/2021,Andre Drummond,drumman01,17.09,9,0.333,0,0,,2,3,0.667,1,4,5,2,1,0,1,4,8,21"
"202102170GSW,2/17/2021,Bam Adebayo,adebaba01,33.37,16,0.625,0,0,,4,5,0.8,2,3,5,7,0,2,3,5,24,37"
"202103120WAS,3/12/2021,Rui Hachimura,hachiru01,21.04,5,0.6,0,0,,3,4,0.75,0,0,0,0,2,0,1,1,9,14"
"202103300DEN,3/30/2021,Dwight Howard,howardw01,19.55,7,0.571,0,0,,2,2,1,3,4,7,1,0,0,0,3,10,16"
"202104010DET,4/1/2021,Alex Len,lenal01,21.05,12,0.583,0,0,,0,2,0,1,4,5,0,1,0,0,4,14,26"
"202104020SAC,4/2/2021,Richaun Holmes,holmeri01,24.18,10,0.4,0,0,,3,5,0.6,2,5,7,0,0,0,0,2,11,25"
"202104020TOR,4/2/2021,Juan Toscano-Anderson,toscaju01,11.17,0,,0,0,,0,0,,0,1,1,1,0,0,2,3,0,0"
"202104020NYK,4/2/2021,Nerlens Noel,noelne01,20.03,4,0.5,0,0,,0,0,,2,3,5,0,1,0,2,2,4,8"
"202105020BOS,5/2/2021,Tristan Thompson,thomptr01,22.44,6,0.167,0,0,,0,0,,1,3,4,4,0,3,2,1,2,12"
"202105270LAL,5/27/2021,Chris Paul,paulch01,27.22,8,0.375,0,0,,1,2,0.5,0,5,5,6,1,0,2,2,7,18"
"202211070LAC,11/7/2022,Evan Mobley,mobleev01,33.41,18,0.667,0,0,,2,2,1,3,5,8,1,0,0,3,6,26,38"
"202211120PHI,11/12/2022,Clint Capela,capelca01,33.07,9,0.778,0,0,,0,0,,6,9,15,0,0,0,4,3,14,18"
"202211200CLE,11/20/2022,Bam Adebayo,adebaba01,26.58,14,0.5,0,0,,7,7,1,2,4,6,3,0,1,3,2,21,35"
"202212260POR,12/26/2022,Mason Plumlee,plumlma01,27.1,7,0.714,0,0,,4,5,0.8,6,2,8,2,1,0,0,1,14,19"
"202301020GSW,1/2/2023,Kevon Looney,looneke01,32.25,8,0.5,0,0,,6,8,0.75,10,10,20,4,0,1,0,4,14,24"
"202302250MEM,2/25/2023,Nikola JokiÄ‡,jokicni01,26.41,11,0.636,0,0,,1,1,1,3,10,13,3,0,0,3,1,15,23"
"202303110ATL,3/11/2023,Clint Capela,capelca01,21.01,6,1,0,0,,0,0,,4,5,9,0,0,0,1,2,12,12"
