Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202312010BOS,12/1/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,38.36,6,9,0.667,2,5,0.4,7,9,0.778,0,7,7,4,1,1,7,1,21,-7,
202312040IND,12/2/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,40.34,13,26,0.5,2,8,0.25,4,7,0.571,1,11,12,6,1,0,2,2,32,-14,
202312080BOS,12/8/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,36.26,8,18,0.444,3,9,0.333,6,8,0.75,0,6,6,5,1,0,0,3,25,17,
202312120BOS,12/12/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,38.47,7,19,0.368,2,9,0.222,9,9,1,0,10,10,5,0,2,4,3,25,9,
202312140BOS,12/14/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,30.52,9,22,0.409,3,10,0.3,6,8,0.75,3,8,11,3,0,3,3,1,27,2,
202312150BOS,12/15/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,40.57,11,22,0.5,2,9,0.222,6,9,0.667,0,6,6,4,0,0,2,3,30,14,
202312170BOS,12/17/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,30.20,8,21,0.381,4,6,0.667,3,4,0.75,3,5,8,3,0,1,1,3,23,9,
202312190GSW,12/19/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,41.14,5,17,0.294,2,9,0.222,3,3,1,3,5,8,7,2,0,0,0,15,-9,
202312230LAC,12/23/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,43.19,9,16,0.563,5,10,0.5,7,9,0.778,0,4,4,2,1,0,2,0,30,19,
202312250LAL,12/25/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,30.50,6,15,0.4,1,6,0.167,12,13,0.923,0,8,8,7,0,1,1,0,25,10,
202312280BOS,12/28/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,37.36,11,31,0.355,2,11,0.182,7,8,0.875,2,5,7,10,5,0,3,4,31,10,
202312310SAS,12/31/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,24.38,10,17,0.588,5,10,0.5,0,0,,1,5,6,2,0,2,3,1,25,32,
202401020OKC,1/2/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,37.36,10,21,0.476,2,5,0.4,8,10,0.8,5,8,13,8,1,0,4,3,30,0,
202401050BOS,1/5/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,42.15,6,12,0.5,5,8,0.625,13,14,0.929,0,9,9,5,1,1,1,1,30,34,
202401060IND,1/5/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,15.45,14,23,0.609,8,13,0.615,2,4,0.5,1,12,13,6,1,0,4,4,38,19,
202401100BOS,1/10/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,29.30,13,26,0.5,6,11,0.545,13,14,0.929,0,4,4,2,1,0,1,3,45,3,
202401110MIL,1/11/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,37.28,2,6,0.333,0,1,0,3,4,0.75,0,1,1,3,0,0,1,2,7,-31,
202401130BOS,1/13/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,31.33,9,17,0.529,4,7,0.571,5,7,0.714,1,7,8,5,1,1,2,2,27,9,
202401150TOR,1/15/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.55,7,19,0.368,1,6,0.167,4,4,1,0,14,14,6,1,1,1,2,19,8,
202401170BOS,1/17/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,35.07,9,21,0.429,3,8,0.375,3,5,0.6,0,5,5,2,0,0,2,2,24,11,
202401190BOS,1/19/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,40.55,9,24,0.375,1,8,0.125,3,3,1,2,6,8,5,1,0,0,1,22,6,
202401210HOU,1/21/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,32.12,4,17,0.235,1,6,0.167,9,12,0.75,1,6,7,3,1,0,2,0,18,-4,
202401220DAL,1/22/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,30.02,11,21,0.524,2,8,0.25,15,19,0.789,0,11,11,5,3,2,0,4,39,27,
202401250MIA,1/25/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,37.30,7,15,0.467,3,7,0.429,9,10,0.9,1,7,8,4,0,0,1,1,26,22,
202401270BOS,1/27/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.50,8,18,0.444,2,4,0.5,3,3,1,3,8,11,1,0,1,3,2,21,-32,
202401290BOS,1/29/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,36.37,10,18,0.556,2,8,0.25,6,7,0.857,0,10,10,8,3,1,7,1,28,9,
