Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
202104190LAL,4/19/2021,Andre Drummond,drumman01,28.12,12,0.25,0,0,,2,5,0.4,3,5,8,4,2,0,2,5,8,29
202104220MIL,4/22/2021,George Hill,hillge01,21.08,4,0.75,0,0,,0,0,,1,3,4,0,0,0,1,0,6,8
202104250CHO,4/25/2021,Tristan Thompson,thomptr01,25.4,4,0.5,0,0,,1,2,0.5,1,3,4,1,0,0,2,0,5,10
202104250WAS,4/25/2021,Alex Len,lenal01,10.2,1,1,0,0,,0,0,,0,2,2,1,0,0,1,2,2,2
202104260TOR,4/26/2021,Jarrett Allen,allenja01,31.12,11,0.636,0,0,,1,1,1,2,5,7,2,1,0,2,2,15,23
202104290DEN,4/29/2021,Pascal Siakam,siakapa01,31.5,11,0.455,1,1,1,0,0,,1,4,5,2,1,0,2,0,11,23
202105010ATL,5/1/2021,Thaddeus Young,youngth01,32.58,12,0.833,0,0,,0,0,,3,4,7,9,2,0,2,4,20,24
202105020DAL,5/2/2021,Dwight Powell,poweldw01,20.09,3,1,0,0,,7,9,0.778,3,4,7,0,2,3,3,3,13,15
202105020SAS,5/2/2021,Drew Eubanks,eubandr01,21.31,8,0.625,0,0,,0,0,,4,2,6,0,0,1,1,2,10,16
202105060CHO,5/6/2021,Bismack Biyombo,biyombi01,18.19,2,0.5,0,0,,0,0,,3,3,6,3,0,0,2,1,2,4
202105140OKC,5/14/2021,Moses Brown,brownmo01,19.45,4,0.5,0,0,,1,2,0.5,3,5,8,0,1,0,0,5,5,10
202105180BOS,5/18/2021,Alex Len,lenal01,11.39,8,0.25,0,0,,1,2,0.5,3,1,4,0,0,0,1,3,5,18
202105210GSW,5/21/2021,Kevon Looney,looneke01,24.27,1,1,0,0,,1,2,0.5,3,1,4,3,1,1,1,3,3,4
202105300BOS,5/30/2021,Tristan Thompson,thomptr01,22.3,4,0.5,0,0,,1,2,0.5,3,3,6,1,2,0,0,4,5,10
202106020NYK,6/2/2021,Taj Gibson,gibsota01,33.02,4,0.5,0,0,,0,0,,4,6,10,0,2,1,2,4,4,8
202210190MIA,10/19/2022,Bam Adebayo,adebaba01,34,15,0.333,0,0,,2,3,0.667,1,8,9,2,0,1,5,4,12,33
202210190BRK,10/19/2022,Nic Claxton,claxtni01,24.47,7,0.857,0,0,,1,2,0.5,3,7,10,0,1,2,4,3,13,16
202210260NYK,10/26/2022,Mason Plumlee,plumlma01,31.1,3,0.667,0,0,,4,6,0.667,2,5,7,4,1,1,2,5,8,12
202210260POR,10/26/2022,Josh Hart,hartjo01,31.29,4,0.75,1,1,1,3,3,1,2,4,6,6,3,1,2,2,10,12
202211020NYK,11/2/2022,Mitchell Robinson,robinmi01,18.26,5,0.8,0,0,,0,0,,3,9,12,2,1,3,1,4,8,10
202211070LAC,11/7/2022,Ivica Zubac,zubaciv01,33.02,7,0.286,0,0,,6,8,0.75,4,5,9,0,1,1,0,1,10,22
202211090CHI,11/9/2022,Ayo Dosunmu,dosunay01,25.54,3,0.667,0,0,,3,3,1,1,2,3,4,0,0,2,1,7,9
202211120DAL,11/12/2022,Dwight Powell,poweldw01,15.22,2,0.5,0,0,,0,0,,2,0,2,0,0,0,1,3,2,4
202211250HOU,11/25/2022,Bruno Fernando,fernabr01,16.36,5,0.6,0,0,,1,2,0.5,2,1,3,0,0,1,1,3,7,12
202211290DAL,11/29/2022,Kevon Looney,looneke01,17.38,4,1,0,0,,3,3,1,3,3,6,1,0,0,0,1,11,11
202211300OKC,11/30/2022,Keita Bates-Diop,bateske01,27.57,10,0.5,0,0,,1,1,1,2,1,3,0,0,1,0,1,11,21
202212030NYK,12/3/2022,Mitchell Robinson,robinmi01,22.37,2,0.5,0,0,,0,2,0,2,4,6,0,0,1,1,2,2,6
202212050DAL,12/5/2022,Deandre Ayton,aytonde01,26.48,11,0.818,0,0,,2,4,0.5,1,7,8,1,0,3,1,2,20,26
202212070NOP,12/7/2022,Marvin Bagley III,baglema01,19.4,4,0,0,0,,0,0,,0,2,2,0,0,0,0,2,0,8
202212130MIL,12/13/2022,Kevon Looney,looneke01,18.45,4,0.5,0,0,,1,2,0.5,4,4,8,1,1,0,0,3,5,10
202212140DAL,12/14/2022,Dwight Powell,poweldw01,11.5,2,0.5,0,0,,2,3,0.667,1,1,2,1,0,0,0,0,4,7
202212140CHI,12/14/2022,Alex Caruso,carusal01,32.24,2,1,0,0,,0,0,,0,2,2,5,3,0,2,5,4,4
202212160CHO,12/16/2022,Mason Plumlee,plumlma01,21.23,4,1,0,0,,0,0,,3,4,7,2,2,0,0,4,8,8
202212310MIN,12/31/2022,Jalen Duren,durenja01,13.31,1,1,0,0,,1,2,0.5,0,0,0,1,0,0,1,4,3,4
202301250ORL,1/25/2023,T.J. McConnell,mccontj01,33.14,8,1,0,0,,1,1,1,0,3,3,8,0,0,4,1,17,17
202301280POR,1/28/2023,Drew Eubanks,eubandr01,22.07,6,0.5,0,0,,1,2,0.5,1,2,3,1,1,2,2,3,7,14
202301310DEN,1/31/2023,Jonas ValanÄiÅ«nas,valanjo01,18.59,9,0.556,0,0,,0,1,0,2,4,6,2,0,0,1,2,10,19
202302030UTA,2/3/2023,Walker Kessler,kesslwa01,17.41,2,0.5,0,0,,0,0,,1,4,5,0,2,1,1,3,2,4
202302080WAS,2/8/2023,Mason Plumlee,plumlma01,31.13,9,0.444,0,0,,2,3,0.667,2,5,7,3,0,0,1,5,10,21
202302130GSW,2/13/2023,Daniel Gafford,gaffoda01,28.15,4,0.75,0,0,,3,4,0.75,2,6,8,5,0,0,1,2,9,12
202302130DAL,2/13/2023,Dwight Powell,poweldw01,14.29,2,1,0,0,,1,2,0.5,0,1,1,1,0,0,0,4,5,6
202302150ATL,2/15/2023,Clint Capela,capelca01,25.46,8,0.625,0,0,,0,0,,2,6,8,1,1,1,0,3,10,16
202302250CHO,2/25/2023,Bam Adebayo,adebaba01,31.17,14,0.429,0,0,,2,3,0.667,2,4,6,4,2,0,2,5,14,31
202302260DEN,2/26/2023,Mason Plumlee,plumlma01,26.5,2,1,0,0,,3,5,0.6,2,8,10,1,0,2,1,4,7,9
202302280TOR,2/28/2023,DeMar DeRozan,derozde01,34.41,11,0.455,0,0,,3,5,0.6,0,0,0,2,1,1,3,5,13,27
202303050WAS,3/5/2023,Daniel Gafford,gaffoda01,24.08,7,0.571,0,0,,0,0,,4,2,6,0,0,0,1,3,8,14
202303110CHO,3/11/2023,Nick Richards,richani01,30.11,7,0.571,0,0,,1,1,1,2,6,8,2,0,5,0,3,9,15
202303120LAL,3/12/2023,Mitchell Robinson,robinmi01,24.16,4,0.5,0,0,,0,0,,4,1,5,0,1,1,1,2,4,8
202303170CHO,3/17/2023,Gordon Hayward,haywago01,21.48,4,0.5,0,0,,2,2,1,0,5,5,2,1,0,1,0,6,10
202303230NOP,3/23/2023,Nick Richards,richani01,29.36,4,0.75,0,0,,3,3,1,3,11,14,1,0,0,1,5,9,11
202303290IND,3/29/2023,Isaiah Jackson,jacksis01,22.27,10,0.4,0,0,,1,1,1,1,2,3,1,0,3,1,5,9,21
202303290BRK,3/29/2023,Alperen ÅžengÃ¼n,sengual01,33.19,16,0.625,0,0,,1,3,0.333,8,4,12,2,1,1,2,3,21,35
202304020CHO,4/2/2023,Mark Williams,willima07,26.51,15,0.467,0,0,,1,1,1,7,5,12,0,0,0,1,2,15,31
202304150CLE,4/15/2023,Mitchell Robinson,robinmi01,26.06,5,0.6,0,0,,0,0,,5,3,8,0,2,0,0,2,6,10
202305250BOS,5/23/2023,Bam Adebayo,adebaba01,31.53,15,0.533,0,0,,0,0,,2,6,8,3,2,1,6,2,16,30
202012260CHI,12/26/2020,Patrick Williams,willipa01,22.04,6,0.333,1,1,1,4,4,1,1,1,2,1,0,1,4,0,9,17
202012270CLE,12/27/2020,Dwight Howard,howardw01,15,4,1,0,0,,1,2,0.5,1,2,3,0,0,0,3,4,9,10
202101220PHI,1/22/2021,Grant Williams,willigr01,11.1,3,0.333,1,1,1,0,0,,1,0,1,2,0,0,1,4,3,7
202101250GSW,1/25/2021,Josh Okogie,okogijo01,16.51,0,,0,0,,0,0,,0,0,0,1,1,0,0,2,0,0
202102020WAS,2/2/2021,Robin Lopez,lopezro01,12.32,1,1,0,0,,0,0,,0,1,1,0,0,1,0,2,2,2
202102030NOP,2/3/2021,Deandre Ayton,aytonde01,29.06,9,0.667,0,0,,1,1,1,4,7,11,2,0,1,1,3,13,19
202102050LAC,2/5/2021,Daniel Theis,theisda01,8.4,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,0
202102090MIA,2/9/2021,Mitchell Robinson,robinmi01,28.55,2,0.5,0,0,,0,0,,2,5,7,2,3,1,1,5,2,4
202102120DEN,2/12/2021,Kenrich Williams,willike04,35.49,8,0.375,1,1,1,0,0,,4,7,11,9,1,0,2,3,7,17
202102210MIL,2/21/2021,Richaun Holmes,holmeri01,21.23,7,0.714,0,0,,1,2,0.5,4,7,11,2,0,0,1,4,11,16
202103110LAC,3/11/2021,Kevon Looney,looneke01,12.55,1,0,0,0,,2,2,1,1,4,5,1,0,0,0,3,2,4
202103150PHO,3/14/2021,Ja Morant,moranja01,28.31,12,0.333,0,0,,7,10,0.7,0,3,3,4,1,0,3,2,15,34
202103250NYK,3/25/2021,Mitchell Robinson,robinmi01,21.16,5,0.4,0,0,,2,3,0.667,4,3,7,0,2,1,1,2,6,13
202103250LAL,3/25/2021,Markieff Morris,morrima02,15.25,3,0.667,1,1,1,0,0,,0,5,5,0,0,0,1,3,5,7
202103300DEN,3/30/2021,Ben Simmons,simmobe01,26.2,7,0.571,0,0,,3,4,0.75,0,2,2,3,2,0,3,3,11,18
202104030SAS,4/3/2021,Edmond Sumner,sumneed01,29.47,9,0.667,0,0,,3,3,1,1,5,6,3,1,0,1,4,15,21
202104050SAS,4/5/2021,Jakob Poeltl,poeltja01,27.18,7,0.571,0,0,,1,1,1,2,3,5,0,0,0,1,2,9,15
202104160BRK,4/16/2021,DeAndre Jordan,jordade01,17.19,4,1,0,0,,0,0,,0,5,5,0,0,1,1,1,8,8
202104180ORL,4/18/2021,Wendell Carter Jr.,cartewe01,31.35,7,0.714,1,1,1,0,1,0,2,8,10,1,1,0,2,3,11,16
202104190WAS,4/19/2021,Moses Brown,brownmo01,16.23,3,0,0,0,,0,0,,2,4,6,0,1,1,1,4,0,6
202105130MIA,5/13/2021,Ben Simmons,simmobe01,26.08,6,0.5,0,0,,2,2,1,1,0,1,6,0,0,1,4,8,14
202105160TOR,5/16/2021,Freddie Gillespie,gillefr01,41.09,9,0.333,0,0,,1,4,0.25,5,5,10,1,0,1,0,2,7,22
202105260NYK,5/26/2021,Nerlens Noel,noelne01,16.33,3,0.333,0,0,,0,0,,3,2,5,0,0,0,0,3,2,6
202105270LAL,5/26/2021,Deandre Ayton,aytonde01,41.11,15,0.733,0,0,,0,1,0,4,7,11,0,1,2,4,4,22,31
202105290WAS,5/29/2021,Alex Len,lenal01,10.45,3,0.333,0,0,,0,0,,1,1,2,1,0,0,0,1,2,6
202210250OKC,10/25/2022,Terance Mann,mannte01,25.45,5,0.6,1,1,1,2,4,0.5,1,8,9,0,1,1,4,1,9,15
202210270OKC,10/27/2022,Ivica Zubac,zubaciv01,34.21,9,0.444,0,0,,4,6,0.667,5,13,18,2,0,1,1,2,12,24
202210290MIL,10/29/2022,Clint Capela,capelca01,28.47,8,0.625,0,0,,1,2,0.5,5,5,10,1,2,1,2,1,11,18
202211010PHO,11/1/2022,Rudy Gobert,goberru01,32.07,1,0,0,0,,7,7,1,4,5,9,3,0,1,1,2,7,9
202211130CLE,11/13/2022,Evan Mobley,mobleev01,32.12,4,0.25,0,0,,2,6,0.333,5,8,13,3,2,0,3,4,4,14
202211190LAC,11/19/2022,Keita Bates-Diop,bateske01,27.45,7,0.571,1,1,1,0,0,,2,3,5,0,0,1,0,1,9,15
202211210CLE,11/21/2022,Clint Capela,capelca01,27.08,5,0.4,0,0,,0,0,,2,10,12,3,2,2,1,4,4,10
202212140SAS,12/14/2022,Tre Jones,jonestr01,25.11,11,0.455,0,0,,0,0,,2,2,4,6,0,0,0,1,10,22
202212140OKC,12/14/2022,Bam Adebayo,adebaba01,33.06,13,0.385,0,0,,5,6,0.833,2,11,13,3,2,0,5,6,15,32
202212190PHO,12/19/2022,Troy Brown Jr.,browntr01,21.01,1,1,1,1,1,0,0,,0,2,2,1,1,0,1,2,3,3
202212200NYK,12/20/2022,Kevon Looney,looneke01,20.5,1,1,0,0,,0,0,,1,5,6,4,0,0,0,2,2,2
202212260MIA,12/26/2022,Rudy Gobert,goberru01,31.13,7,0.714,0,0,,0,2,0,1,7,8,0,0,0,2,0,10,16
202212270MEM,12/27/2022,Dillon Brooks,brookdi01,26.16,9,0.333,1,1,1,0,0,,0,1,1,2,0,0,2,5,7,19
202301020POR,1/2/2023,Jalen Duren,durenja01,22.11,6,0.333,0,0,,1,2,0.5,5,6,11,3,1,1,0,2,5,14
202301160MEM,1/16/2023,Deandre Ayton,aytonde01,30.15,11,0.727,0,0,,2,2,1,1,4,5,1,0,0,2,4,18,24
202301200UTA,1/20/2023,Walker Kessler,kesslwa01,24.36,4,0.25,0,0,,0,2,0,3,3,6,0,1,1,0,2,2,10
202301300SAS,1/30/2023,Jakob Poeltl,poeltja01,21.39,5,0.4,0,0,,3,4,0.75,2,3,5,2,0,1,2,2,7,14
202302010SAS,2/1/2023,Jakob Poeltl,poeltja01,28.57,13,0.692,0,0,,0,0,,4,8,12,3,1,1,5,3,18,26
202302100LAC,2/10/2023,Brandon Boston Jr.,bostobr01,26.13,13,0.692,1,1,1,1,2,0.5,0,2,2,0,1,0,1,1,20,29
202302260DAL,2/26/2023,Dwight Powell,poweldw01,26.57,3,0.667,0,0,,2,4,0.5,3,3,6,1,1,0,2,3,6,10
202302260POR,2/26/2023,Alperen ÅžengÃ¼n,sengual01,24.46,16,0.5,0,0,,1,2,0.5,8,2,10,5,0,0,2,4,17,34
202303030CHO,3/3/2023,Gordon Hayward,haywago01,33.59,12,0.583,1,1,1,2,2,1,0,1,1,7,1,0,5,3,17,27
202303030CHO,3/3/2023,Mark Williams,willima07,27.44,7,0.714,0,0,,3,3,1,3,4,7,0,0,1,3,2,13,17
202303040MIA,3/4/2023,Clint Capela,capelca01,24.56,10,0.8,0,0,,0,0,,5,8,13,0,1,1,0,3,16,20
202303050LAC,3/5/2023,Ivica Zubac,zubaciv01,17.34,5,0.6,0,0,,0,0,,4,5,9,2,0,2,1,2,6,10
202303070MIN,3/7/2023,Rudy Gobert,goberru01,24.58,6,0.333,0,0,,2,4,0.5,1,8,9,2,2,1,2,2,6,16
202303090MIL,3/9/2023,Seth Curry,curryse01,11.05,4,0.25,0,0,,3,3,1,1,1,2,0,1,0,0,0,5,11
202303220WAS,3/22/2023,Daniel Gafford,gaffoda01,28.33,6,0.5,0,0,,0,0,,2,3,5,0,0,1,0,5,6,12
202303250LAC,3/25/2023,Ivica Zubac,zubaciv01,17.3,7,0.857,0,0,,1,2,0.5,0,5,5,2,0,2,0,3,13,16
202303280OKC,3/28/2023,Nick Richards,richani01,26.13,9,0.667,0,0,,2,4,0.5,4,7,11,0,0,0,1,4,14,22
202303280ATL,3/28/2023,Clint Capela,capelca01,27.28,10,0.6,0,0,,0,1,0,3,7,10,2,0,0,2,3,12,21
202304050DAL,4/4/2023,Domantas Sabonis,sabondo01,34.41,11,0.727,1,1,1,2,6,0.333,3,8,11,11,1,0,3,4,19,29
202304060UTA,4/6/2023,Udoka Azubuike,azubuud01,25.07,8,0.75,0,0,,0,0,,2,5,7,0,0,1,1,1,12,16
202304070IND,4/7/2023,James Wiseman,wisemja01,7.31,2,0.5,0,0,,1,2,0.5,0,3,3,0,0,0,0,1,3,6
202304090MIN,4/9/2023,Rudy Gobert,goberru01,13.04,1,1,0,0,,0,0,,0,3,3,0,0,0,0,0,2,2
202304170PHI,4/17/2023,Nic Claxton,claxtni01,20.55,2,0,0,0,,0,0,,1,5,6,2,0,0,1,3,0,4
202304180PHO,4/18/2023,Ivica Zubac,zubaciv01,29.29,7,0.286,0,0,,4,6,0.667,4,2,6,0,2,0,3,1,8,20
202304260CLE,4/26/2023,Evan Mobley,mobleev01,38.55,6,0.333,0,0,,2,4,0.5,1,8,9,4,0,1,3,0,6,16
202305170BOS,5/17/2023,Robert Williams,williro04,25.3,6,1,0,0,,2,3,0.667,4,3,7,0,0,1,1,1,14,15
202012300BOS,12/30/2020,Jonas ValanÄiÅ«nas,valanjo01,24.1,11,0.636,1,1,1,5,7,0.714,4,7,11,1,0,0,5,2,20,30
202101060PHI,1/6/2021,Rui Hachimura,hachiru01,24.09,4,0.5,1,1,1,3,4,0.75,0,2,2,0,0,0,0,1,8,13
202101110POR,1/11/2021,Jusuf NurkiÄ‡,nurkiju01,8.4,5,0.2,0,0,,0,0,,0,2,2,0,0,0,1,1,2,10
202101160MIA,1/16/2021,Bam Adebayo,adebaba01,33.41,11,0.727,0,0,,12,12,1,1,6,7,6,0,3,2,2,28,34
202101220SAC,1/22/2021,Mitchell Robinson,robinmi01,28.42,8,0.75,0,0,,0,1,0,5,5,10,0,0,1,2,1,12,17
202102060NOP,2/6/2021,Gorgui Dieng,dienggo01,21.03,2,1,1,1,1,3,4,0.75,3,2,5,2,1,0,1,4,8,9
202102070CHO,2/7/2021,Alex Len,lenal01,7.5,3,0.333,0,0,,0,0,,1,0,1,1,0,1,0,0,2,6
202102090SAS,2/9/2021,Jakob Poeltl,poeltja01,19.42,4,0.5,0,0,,0,0,,1,4,5,0,0,2,1,3,4,8
202102120DAL,2/12/2021,Steven Adams,adamsst01,19.5,4,0.5,0,0,,0,0,,4,0,4,1,0,0,2,2,4,8
202103040SAS,3/4/2021,Jakob Poeltl,poeltja01,22.43,3,0.333,0,0,,0,0,,2,3,5,2,1,1,3,5,2,6
202103150CHO,3/15/2021,Cody Zeller,zelleco01,18.48,7,0.143,0,0,,1,2,0.5,4,5,9,6,0,0,1,1,3,16
202103190ORL,3/19/2021,DeAndre Jordan,jordade01,23.16,5,0.8,0,0,,0,0,,3,3,6,2,1,1,0,2,8,10
202103250SAS,3/25/2021,Jakob Poeltl,poeltja01,31.13,10,0.5,0,0,,1,2,0.5,1,7,8,0,0,3,1,1,11,22
202104030SAC,4/3/2021,Richaun Holmes,holmeri01,26.41,7,0.714,0,0,,2,2,1,3,6,9,2,0,1,3,3,12,16
202104140DEN,4/14/2021,Bam Adebayo,adebaba01,30.2,16,0.438,0,0,,7,8,0.875,1,5,6,2,2,2,6,1,21,40
202104140TOR,4/14/2021,Jakob Poeltl,poeltja01,26.43,8,0.25,0,0,,0,0,,5,4,9,0,0,2,3,2,4,16
202104220DAL,4/22/2021,Dwight Powell,poweldw01,16.55,5,0.8,0,0,,2,4,0.5,1,1,2,1,2,0,1,2,10,14
202104260PHI,4/26/2021,Moses Brown,brownmo01,27.19,8,0.625,0,0,,1,2,0.5,3,5,8,1,1,0,3,2,11,18
202105040CLE,5/4/2021,Jarrett Allen,allenja01,37.03,11,0.636,0,0,,3,5,0.6,4,4,8,5,1,1,2,1,17,27
202105050DEN,5/5/2021,Nerlens Noel,noelne01,29.4,3,0.667,0,0,,1,2,0.5,1,4,5,0,2,6,2,4,5,8
202105090BOS,5/9/2021,Robert Williams,williro04,11.27,2,1,0,0,,0,0,,0,2,2,2,0,0,0,0,4,4
202105100CLE,5/10/2021,Jarrett Allen,allenja01,32.15,6,0.667,1,1,1,3,4,0.75,5,4,9,3,0,1,2,2,12,17
202105160GSW,5/16/2021,Jonas ValanÄiÅ«nas,valanjo01,35.3,15,0.8,0,0,,5,6,0.833,6,10,16,1,1,0,1,2,29,36
202105220LAC,5/22/2021,Ivica Zubac,zubaciv01,19.26,5,0.8,0,0,,0,0,,2,1,3,0,0,0,0,2,8,10
202106010PHO,6/1/2021,Markieff Morris,morrima02,10.18,2,0.5,1,1,1,1,2,0.5,1,0,1,1,0,1,1,1,4,7
202211050CHO,11/5/2022,Mason Plumlee,plumlma01,30.03,8,0.5,0,0,,1,1,1,3,8,11,3,1,0,2,5,9,17
202211070IND,11/7/2022,Jonas ValanÄiÅ«nas,valanjo01,21.49,9,0.778,0,0,,0,0,,2,5,7,2,0,0,0,3,14,18
202211070PHI,11/7/2022,Deandre Ayton,aytonde01,30.36,11,0.545,0,0,,2,2,1,3,4,7,0,1,1,0,4,14,24
202211090TOR,11/9/2022,Alperen ÅžengÃ¼n,sengual01,30.2,8,0.625,0,0,,7,7,1,3,5,8,1,1,3,3,2,17,23
202211090SAC,11/9/2022,Jarrett Allen,allenja01,32.5,11,0.636,0,0,,6,7,0.857,2,5,7,1,0,1,1,4,20,29
202211130CLE,11/13/2022,Rudy Gobert,goberru01,33.18,10,0.5,0,0,,5,8,0.625,4,9,13,1,1,2,3,3,15,28
202211160MIL,11/16/2022,Evan Mobley,mobleev01,31.09,14,0.643,0,0,,2,4,0.5,3,4,7,2,1,2,0,3,20,32
202211270ATL,11/27/2022,Onyeka Okongwu,okongon01,33.39,7,0.429,0,0,,0,0,,3,1,4,0,1,2,1,1,6,14
202212020CLE,12/2/2022,Bol Bol,bolbo01,23.13,3,0.333,1,1,1,0,0,,0,7,7,1,2,3,4,1,3,7
202212090ORL,12/9/2022,Christian Koloko,kolokch01,12.34,1,0,0,0,,0,0,,0,0,0,1,0,1,0,1,0,2
202212130PHI,12/13/2022,Domantas Sabonis,sabondo01,29.43,10,0.8,0,0,,6,7,0.857,4,6,10,5,0,0,1,4,22,27
202212160DET,12/16/2022,Jalen Duren,durenja01,30.28,7,0.714,0,0,,5,6,0.833,6,8,14,1,0,1,0,4,15,20
202212210LAC,12/21/2022,Mason Plumlee,plumlma01,26.26,9,0.778,0,0,,4,6,0.667,2,1,3,1,2,0,3,3,18,24
202212230CLE,12/23/2022,Evan Mobley,mobleev01,32.17,7,0.714,0,0,,0,0,,1,7,8,3,0,1,2,0,10,14
202212250DEN,12/23/2022,Deandre Ayton,aytonde01,37.35,18,0.5,1,1,1,3,4,0.75,3,13,16,2,2,2,6,3,22,41
202212270MEM,12/27/2022,Steven Adams,adamsst01,25.18,5,0.6,0,0,,0,0,,3,6,9,1,0,1,1,1,6,10
202212300MIL,12/30/2022,Kyle Anderson,anderky01,23.18,5,0.6,0,0,,1,3,0.333,0,1,1,4,0,0,0,5,7,13
202301060DEN,1/6/2023,Isaac Okoro,okorois01,17.24,5,0.2,0,0,,1,2,0.5,3,2,5,2,2,0,1,1,3,12
202301100GSW,1/10/2023,Kevon Looney,looneke01,21.09,1,0,0,0,,1,2,0.5,2,6,8,0,1,0,1,3,1,4
202301110NYK,1/11/2023,James Johnson,johnsja01,12.58,1,0,0,0,,0,0,,0,3,3,2,2,1,1,2,0,2
202301200CLE,1/20/2023,Jarrett Allen,allenja01,31.14,7,0.571,0,0,,0,0,,3,5,8,2,0,3,1,3,8,14
202301230SAC,1/23/2023,Xavier Tillman Sr.,tillmxa01,29.54,6,0.833,0,0,,0,0,,1,5,6,2,2,1,2,2,10,12
202301290MEM,1/29/2023,T.J. McConnell,mccontj01,22.3,5,0,0,0,,0,0,,1,2,3,7,0,0,5,1,0,10
202302060WAS,2/6/2023,Daniel Gafford,gaffoda01,23.57,6,0.833,0,0,,1,1,1,2,6,8,1,0,3,2,2,11,13
202302100MIA,2/10/2023,Jae'Sean Tate,tateja01,24.26,7,0.286,0,0,,1,3,0.333,2,2,4,1,0,0,1,4,5,17
202302240MIL,2/24/2023,Jimmy Butler,butleji01,21.21,10,0.8,1,1,1,6,8,0.75,1,1,2,1,0,0,2,1,23,29
202302260CHI,2/26/2023,Daniel Gafford,gaffoda01,30.53,9,0.778,0,0,,1,2,0.5,5,6,11,1,2,1,2,4,15,20
202303030OKC,3/3/2023,Walker Kessler,kesslwa01,25.12,5,1,0,0,,0,0,,3,8,11,0,0,4,1,2,10,10
202303160DET,3/16/2023,James Wiseman,wisemja01,29.55,14,0.5,0,0,,0,0,,3,6,9,1,0,0,2,3,14,28
202303220LAL,3/22/2023,Bismack Biyombo,biyombi01,25.51,4,0.75,0,0,,0,2,0,5,3,8,2,1,2,2,4,6,10
202303220TOR,3/22/2023,Jakob Poeltl,poeltja01,35.38,12,0.833,0,0,,3,9,0.333,4,4,8,1,2,2,1,3,23,33
202303240POR,3/24/2023,Drew Eubanks,eubandr01,24.49,7,0.714,0,0,,2,2,1,1,6,7,1,2,1,1,1,12,16
202304020NYK,4/2/2023,Daniel Gafford,gaffoda01,27.56,2,1,0,0,,0,0,,1,6,7,0,0,2,2,3,4,4
202304070ATL,4/7/2023,Clint Capela,capelca01,32.29,6,0.833,0,0,,2,6,0.333,0,4,4,1,1,2,0,1,12,18
202304270ATL,4/27/2023,Clint Capela,capelca01,27.44,7,0.714,0,0,,0,0,,5,5,10,2,0,0,0,1,10,14
202304300NYK,4/30/2023,Mitchell Robinson,robinmi01,33.38,3,1,0,0,,1,4,0.25,5,9,14,0,0,2,2,3,7,10
202305070PHO,5/7/2023,Deandre Ayton,aytonde01,27.06,6,0.5,0,0,,2,4,0.5,4,4,8,0,1,1,0,4,8,16
202305110PHO,5/11/2023,Kevin Durant,duranke01,36.5,19,0.421,0,0,,7,7,1,0,5,5,5,0,1,4,2,23,45
202012230ORL,12/22/2020,Bam Adebayo,adebaba01,34.41,16,0.688,0,0,,3,4,0.75,3,8,11,4,0,1,7,4,25,36
202012290LAC,12/29/2020,Naz Reid,reidna01,19.54,6,0.667,1,1,1,2,2,1,2,1,3,1,0,0,0,3,11,15
202012300SAS,12/30/2020,DeMar DeRozan,derozde01,36.01,12,0.583,1,1,1,8,10,0.8,0,5,5,6,1,1,2,2,23,35
202101060ATL,1/6/2021,John Collins,collijo01,31.47,16,0.563,0,0,,5,7,0.714,4,7,11,1,1,0,2,4,23,39
202101060ORL,1/6/2021,Andre Drummond,drumman01,26.18,16,0.563,0,0,,1,4,0.25,6,9,15,1,1,1,5,4,19,36
202101080SAC,1/8/2021,Alex Len,lenal01,4.4,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
202101120HOU,1/12/2021,David Nwaba,nwabada01,10.28,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0
202101180MIA,1/18/2021,KZ Okpala,okpalkz01,3.3,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,0
202101200PHI,1/20/2021,Tristan Thompson,thomptr01,20.51,2,0.5,0,0,,0,0,,1,8,9,2,0,0,1,5,2,4
202101200MIN,1/20/2021,Jarred Vanderbilt,vandeja01,17.32,3,0.333,1,1,1,1,4,0.25,0,3,3,1,1,1,1,4,4,11
202101220IND,1/22/2021,Cole Anthony,anthoco01,35.46,7,0.429,1,1,1,2,2,1,1,4,5,2,1,1,1,2,9,17
202102140DET,2/14/2021,Zion Williamson,willizi01,35.43,20,0.5,0,0,,6,6,1,3,5,8,3,0,2,1,2,26,46
202102160OKC,2/16/2021,Kenrich Williams,willike04,19.42,2,0.5,1,1,1,0,0,,1,7,8,1,1,0,3,4,3,5
202102230ORL,2/23/2021,Al-Farouq Aminu,aminual01,21.3,3,0.333,1,1,1,0,0,,0,4,4,1,1,1,2,1,3,7
202103010CHI,3/1/2021,Wendell Carter Jr.,cartewe01,22.42,4,0.5,0,0,,4,6,0.667,2,1,3,2,0,0,1,4,8,14
202103170IND,3/17/2021,Bruce Brown,brownbr01,23.57,10,0.3,0,0,,5,6,0.833,2,2,4,1,2,0,2,1,11,26
202103190CLE,3/19/2021,Isaac Okoro,okorois01,21.51,4,0.25,1,1,1,1,4,0.25,0,2,2,1,1,0,0,4,4,13
