Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202111080GSW,11/8/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.02,14,28,0.5,9,19,0.474,13,13,1,2,5,7,10,4,1,2,0,50,,
202111100GSW,11/10/2021,GSW,game,TRUE,Stephen Curry,curryst01,34.06,8,16,0.5,3,9,0.333,6,8,0.75,0,5,5,6,1,0,3,2,25,,
202111120GSW,11/12/2021,GSW,game,TRUE,Stephen Curry,curryst01,34.13,15,24,0.625,9,17,0.529,1,1,1,0,4,4,5,1,1,6,1,40,,
202111140CHO,11/14/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.42,7,22,0.318,3,13,0.231,7,7,1,1,5,6,10,3,1,3,2,24,,
202111160BRK,11/16/2021,GSW,game,TRUE,Stephen Curry,curryst01,29.15,12,19,0.632,9,14,0.643,4,4,1,0,7,7,5,2,1,2,4,37,,
202111180CLE,11/18/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.23,15,27,0.556,9,16,0.563,1,1,1,0,4,4,6,2,0,3,4,40,,
202111210GSW,11/21/2021,GSW,game,TRUE,Stephen Curry,curryst01,37.04,2,10,0.2,1,6,0.167,7,7,1,0,2,2,8,1,0,4,1,12,,
202111240GSW,11/24/2021,GSW,game,TRUE,Stephen Curry,curryst01,34.55,9,16,0.563,6,11,0.545,1,2,0.5,0,4,4,10,1,0,4,1,25,,
202111260GSW,11/26/2021,GSW,game,TRUE,Stephen Curry,curryst01,38.04,12,25,0.48,6,15,0.4,2,3,0.667,0,7,7,8,1,0,3,2,32,,
202111280LAC,11/28/2021,GSW,game,TRUE,Stephen Curry,curryst01,34.47,12,22,0.545,7,13,0.538,2,2,1,0,5,5,6,6,0,3,4,33,,
202111300PHO,11/30/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.58,4,21,0.19,3,14,0.214,1,1,1,1,2,3,2,1,1,2,0,12,,
202112030GSW,12/3/2021,GSW,game,TRUE,Stephen Curry,curryst01,33.24,8,20,0.4,6,11,0.545,1,2,0.5,2,3,5,5,0,0,3,2,23,,
202112040GSW,12/4/2021,GSW,game,TRUE,Stephen Curry,curryst01,36.52,7,28,0.25,5,17,0.294,8,9,0.889,1,7,8,5,3,0,1,1,27,,
202112060GSW,12/6/2021,GSW,game,TRUE,Stephen Curry,curryst01,30.58,8,16,0.5,7,13,0.538,8,8,1,0,3,3,8,2,0,3,2,31,,
202112080GSW,12/8/2021,GSW,game,TRUE,Stephen Curry,curryst01,33.21,8,19,0.421,6,17,0.353,0,0,,2,0,2,2,1,0,4,3,22,,
202112110PHI,12/11/2021,GSW,game,TRUE,Stephen Curry,curryst01,36.14,6,20,0.3,3,14,0.214,3,4,0.75,2,7,9,5,0,0,3,1,18,,
202112130IND,12/13/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.21,8,20,0.4,5,15,0.333,5,5,1,1,5,6,6,1,1,7,1,26,,
202112140NYK,12/14/2021,GSW,game,TRUE,Stephen Curry,curryst01,34.43,8,19,0.421,5,14,0.357,1,2,0.5,0,3,3,3,1,1,4,4,22,,
202112170BOS,12/17/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.15,8,21,0.381,5,14,0.357,9,9,1,1,4,5,4,1,0,6,6,30,,
202112200GSW,12/20/2021,GSW,game,TRUE,Stephen Curry,curryst01,36.14,13,27,0.481,4,12,0.333,0,1,0,0,3,3,4,0,2,4,1,30,,
202112230GSW,12/23/2021,GSW,game,TRUE,Stephen Curry,curryst01,37.19,13,22,0.591,8,14,0.571,12,12,1,0,4,4,4,2,0,3,1,46,,
202112250PHO,12/25/2021,GSW,game,TRUE,Stephen Curry,curryst01,37.12,10,27,0.37,5,16,0.313,8,9,0.889,0,4,4,6,3,1,1,3,33,,
202112280GSW,12/28/2021,GSW,game,TRUE,Stephen Curry,curryst01,39.05,6,16,0.375,5,14,0.357,6,7,0.857,0,4,4,4,0,0,6,3,23,,
202201010UTA,1/1/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.31,8,18,0.444,6,12,0.5,6,7,0.857,0,6,6,9,0,1,3,3,28,,
202201030GSW,1/3/2022,GSW,game,TRUE,Stephen Curry,curryst01,32.01,3,17,0.176,1,10,0.1,2,2,1,0,3,3,10,0,1,2,3,9,,
202201050DAL,1/5/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.04,5,24,0.208,1,9,0.111,3,4,0.75,0,9,9,5,0,1,5,2,14,,
202201090GSW,1/9/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.31,10,21,0.476,4,11,0.364,4,4,1,3,2,5,5,1,0,5,3,28,,
202201110MEM,1/11/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.41,8,21,0.381,2,9,0.222,9,10,0.9,1,9,10,10,2,0,3,3,27,,
202201130MIL,1/13/2022,GSW,game,TRUE,Stephen Curry,curryst01,29.15,4,11,0.364,2,6,0.333,2,2,1,0,8,8,4,2,0,4,0,12,,
202201140CHI,1/14/2022,GSW,game,TRUE,Stephen Curry,curryst01,27.37,7,15,0.467,4,10,0.4,1,2,0.5,0,2,2,2,1,0,1,0,19,,
202201180GSW,1/18/2022,GSW,game,TRUE,Stephen Curry,curryst01,28.33,6,11,0.545,4,8,0.5,2,2,1,0,3,3,8,3,0,1,1,18,,
202201200GSW,1/20/2022,GSW,game,TRUE,Stephen Curry,curryst01,43.57,12,27,0.444,6,16,0.375,9,9,1,0,5,5,8,1,0,2,3,39,,
202201210GSW,1/21/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.56,6,21,0.286,4,13,0.308,6,8,0.75,0,4,4,12,1,1,2,3,22,,
202201230GSW,1/23/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.02,5,20,0.25,1,13,0.077,2,2,1,2,2,4,6,0,0,1,0,13,,
202201250GSW,1/25/2022,GSW,game,TRUE,Stephen Curry,curryst01,28.58,7,16,0.438,2,10,0.2,2,3,0.667,2,7,9,7,1,0,4,3,18,,
202201270GSW,1/27/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.21,10,20,0.5,6,10,0.6,3,3,1,0,8,8,6,3,0,4,1,29,,
202201290GSW,1/29/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.31,5,18,0.278,3,10,0.3,6,6,1,2,5,7,8,3,0,5,5,19,,
202201310HOU,1/31/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.57,13,23,0.565,7,14,0.5,7,8,0.875,0,5,5,9,1,1,1,0,40,,
202202030GSW,2/3/2022,GSW,game,TRUE,Stephen Curry,curryst01,31.4,7,11,0.636,4,7,0.571,2,2,1,0,1,1,7,2,0,4,4,20,,
202202070OKC,2/7/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.34,6,12,0.5,4,10,0.4,2,2,1,0,9,9,10,1,0,4,2,18,,
202202090UTA,2/9/2022,GSW,game,TRUE,Stephen Curry,curryst01,29.39,5,13,0.385,3,8,0.375,3,4,0.75,1,6,7,2,0,0,4,2,16,,
202202100GSW,2/10/2022,GSW,game,TRUE,Stephen Curry,curryst01,39.08,11,25,0.44,5,16,0.313,8,8,1,0,2,2,10,1,0,3,5,35,,
202202120GSW,2/12/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.36,7,17,0.412,1,8,0.125,9,9,1,0,5,5,8,1,0,2,3,24,,
202202140LAC,2/14/2022,GSW,game,TRUE,Stephen Curry,curryst01,33.49,11,18,0.611,8,13,0.615,3,3,1,0,2,2,2,0,0,4,2,33,,
202202160GSW,2/16/2022,GSW,game,TRUE,Stephen Curry,curryst01,39.06,10,19,0.526,1,7,0.143,4,4,1,0,3,3,6,0,0,2,2,25,,
202202240POR,2/24/2022,GSW,game,TRUE,Stephen Curry,curryst01,27.27,5,11,0.455,2,7,0.286,6,6,1,0,5,5,14,1,1,3,3,18,,
202202270GSW,2/27/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.04,11,25,0.44,3,10,0.3,2,4,0.5,1,3,4,10,2,0,1,0,27,,
202203010MIN,3/1/2022,GSW,game,TRUE,Stephen Curry,curryst01,33.13,10,24,0.417,5,16,0.313,9,9,1,1,4,5,4,0,0,4,1,34,,
202203030DAL,3/3/2022,GSW,game,TRUE,Stephen Curry,curryst01,40.26,8,15,0.533,4,5,0.8,1,1,1,0,5,5,9,1,0,3,3,21,,
202203050LAL,3/5/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.41,13,22,0.591,4,9,0.444,0,0,,0,4,4,1,0,0,4,0,30,,
202203080GSW,3/8/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.03,5,12,0.417,1,6,0.167,4,4,1,0,5,5,5,3,0,4,4,15,,
202203100DEN,3/9/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.58,11,21,0.524,5,12,0.417,7,7,1,0,9,9,3,2,0,2,1,34,,
202203120GSW,3/12/2022,GSW,game,TRUE,Stephen Curry,curryst01,33.09,3,7,0.429,2,4,0.5,0,0,,1,4,5,8,1,1,4,1,8,,
202203140GSW,3/14/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.26,16,25,0.64,7,14,0.5,8,8,1,0,6,6,6,1,0,2,1,47,,
202404160SAC,4/17/2024,GSW,game,TRUE,Stephen Curry,curryst01,46.28,8,16,0.5,3,7,0.429,3,3,1,1,3,4,2,2,1,6,0,22,-21,
202204270GSW,4/27/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.51,10,22,0.455,5,11,0.455,5,7,0.714,1,4,5,5,2,0,5,2,30,,
202205010MEM,4/29/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.06,8,20,0.4,5,12,0.417,3,4,0.75,0,3,3,4,0,1,1,5,24,,
202205030MEM,5/2/2022,GSW,game,TRUE,Stephen Curry,curryst01,39.27,11,25,0.44,3,11,0.273,2,2,1,3,6,9,8,1,0,5,1,27,,
202205070GSW,5/7/2022,GSW,game,TRUE,Stephen Curry,curryst01,34.42,7,14,0.5,2,8,0.25,14,14,1,0,2,2,6,1,0,1,2,30,,
202205090GSW,5/9/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.42,10,25,0.4,4,14,0.286,8,9,0.889,0,5,5,8,1,0,3,3,32,,
202205110MEM,5/10/2022,GSW,game,TRUE,Stephen Curry,curryst01,25,4,10,0.4,3,8,0.375,3,4,0.75,0,3,3,4,0,0,2,1,14,,
202205130GSW,5/13/2022,GSW,game,TRUE,Stephen Curry,curryst01,40.12,10,27,0.37,6,17,0.353,3,4,0.75,0,7,7,5,1,2,3,3,29,,
202205180GSW,5/18/2022,GSW,game,TRUE,Stephen Curry,curryst01,30.44,7,16,0.438,3,9,0.333,4,7,0.571,2,10,12,4,1,1,3,3,21,,
202205200GSW,5/20/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.01,11,21,0.524,6,10,0.6,4,4,1,0,8,8,5,0,0,3,4,32,,
202205220DAL,5/21/2022,GSW,game,TRUE,Stephen Curry,curryst01,39.01,10,20,0.5,5,10,0.5,6,6,1,1,4,5,11,0,0,3,5,31,,
202205240DAL,5/23/2022,GSW,game,TRUE,Stephen Curry,curryst01,32.34,7,16,0.438,2,5,0.4,4,5,0.8,0,5,5,8,1,0,2,2,20,,
202205260GSW,5/26/2022,GSW,game,TRUE,Stephen Curry,curryst01,34.5,5,17,0.294,2,7,0.286,3,3,1,0,3,3,9,3,1,2,2,15,,
202206020GSW,6/2/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.17,12,25,0.48,7,14,0.5,3,4,0.75,0,5,5,5,3,0,2,3,34,,
202206050GSW,6/5/2022,GSW,game,TRUE,Stephen Curry,curryst01,32.11,9,21,0.429,5,12,0.417,6,7,0.857,0,6,6,4,3,0,2,2,29,,
202206080BOS,6/5/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.08,12,22,0.545,6,11,0.545,1,1,1,0,4,4,2,2,0,3,4,31,,
202206100BOS,6/8/2022,GSW,game,TRUE,Stephen Curry,curryst01,40.41,14,26,0.538,7,14,0.5,8,9,0.889,2,8,10,4,0,0,5,3,43,,
202206130GSW,6/13/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.08,7,22,0.318,0,9,0,2,3,0.667,0,4,4,8,2,0,1,2,16,,
202206160BOS,6/16/2022,GSW,game,TRUE,Stephen Curry,curryst01,39.56,12,21,0.571,6,11,0.545,4,4,1,0,7,7,7,2,1,2,4,34,,
202210180GSW,10/18/2022,GSW,game,TRUE,Stephen Curry,curryst01,32.48,10,22,0.455,4,13,0.308,9,9,1,1,5,6,7,4,1,4,1,33,20,
202210210GSW,10/21/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.55,10,22,0.455,5,11,0.455,9,9,1,1,4,5,4,0,0,3,2,34,9,
202210230GSW,10/23/2022,GSW,game,TRUE,Stephen Curry,curryst01,31.21,11,22,0.5,7,12,0.583,4,4,1,0,5,5,2,1,0,2,3,33,19,
202210250PHO,10/24/2022,GSW,game,TRUE,Stephen Curry,curryst01,29.55,7,17,0.412,4,9,0.444,3,5,0.6,0,7,7,8,1,0,1,1,21,-17,
202210270GSW,10/27/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.57,13,22,0.591,7,14,0.5,0,0,,1,6,7,9,1,0,3,0,33,13,
202210290CHO,10/29/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.54,10,22,0.455,3,13,0.231,8,8,1,0,11,11,6,1,0,2,5,31,-6,
202210300DET,10/29/2022,GSW,game,TRUE,Stephen Curry,curryst01,34.58,10,24,0.417,4,14,0.286,8,9,0.889,0,6,6,3,2,0,1,1,32,-12,
